Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
128-2,2016-2017,0.77,-,0.76,-
128-2,2018-2019,0.72,-,0.73,-
128-2,2019-2020,0.76,-,0.78,-
128-2,2020-2021,0.85,-,0.85,-
128-2,2021-2022,0.85,-,0.83,-
128-2,2022-2023,0.78,-,0.79,-
128-2,2023-2024,0.81,-,0.79,-
128-2,-,0.78,0.04,0.77,0.04
128-3,2008-2009,0.83,-,0.82,-
128-3,2009-2010,0.64,-,0.61,-
128-3,2011-2012,0.77,-,0.75,-
128-3,2012-2013,0.75,-,0.76,-
128-3,2013-2014,0.77,-,0.76,-
128-3,2014-2015,0.78,-,0.78,-
128-3,2015-2016,0.75,-,0.74,-
128-3,2016-2017,0.73,-,0.73,-
128-3,2018-2019,0.77,-,0.75,-
128-3,2019-2020,0.80,-,0.81,-
128-3,2020-2021,0.84,-,0.84,-
128-3,2021-2022,0.81,-,0.81,-
128-3,2022-2023,0.80,-,0.81,-
128-3,2023-2024,0.81,-,0.80,-
128-3,-,0.78,0.05,0.77,0.05
128-4,2008-2009,0.82,-,0.81,-
128-4,2009-2010,0.67,-,0.66,-
128-4,2011-2012,0.81,-,0.81,-
128-4,2012-2013,0.77,-,0.75,-
128-4,2013-2014,0.79,-,0.78,-
128-4,2014-2015,0.79,-,0.78,-
128-4,2015-2016,0.76,-,0.73,-
128-4,2016-2017,0.74,-,0.74,-
128-4,2018-2019,0.74,-,0.73,-
128-4,2019-2020,0.78,-,0.79,-
128-4,2020-2021,0.86,-,0.85,-
128-4,2021-2022,0.81,-,0.79,-
128-4,2022-2023,0.80,-,0.80,-
128-4,2023-2024,0.80,-,0.79,-
128-4,-,0.78,0.04,0.77,0.05
